If you have any questions or corrections please email Franklin (ffein@stanford.edu),,Please let us know which metrics you found most useful and suggestions for more! https://forms.gle/U7cqAyRm2huJCn3a7,,,,,Last updated: 6/1/2021,,,,,,,,,,,
Assession Number,Dataset URL,Dataset name,Dataset made public (MM/DD/YYYY),Most recent snapshot date (MM/DD/YYYY),# of subjects,Modalities available?,DX status(es),Ages (range),Tasks completed?,# of trials (if applicable),Study design,Domain studied,Longitudinal?,Processed data?,Species?,DOI of paper associated with DS (from submitter lab),DOI of paper because DS on OpenNeuro,"Senior Author (lab that collected data) Last, First"
ds002672,https://openneuro.org/datasets/ds002672/versions/1.0.0,Robust functional mapping of layer-selective responses in human lateral geniculate nucleus with high-resolution 7T fMRI,4/1/2020,4/2/2020,5,"MRI - anat, MRI - func",,,locLREye,,,,No,No,Human,10.1098/rspb.2020.0245,,"Zhang, Peng"
ds002674,https://openneuro.org/datasets/ds002674/versions/1.0.1,28andMe,4/3/2020,4/3/2020,1,"MRI - anat, MRI - func, Field Map",Healthy/Control,18-25,rest,,Longitudinal imaging of single individual (N =30),day-to-day variation in sex hormone concentrations impacts connectivity states across major intrinsic brain networks,Yes,No,Human,10.1101/866913,,"Jacobs, Emily"
ds002675,https://openneuro.org/datasets/ds002675/versions/1.0.0,The language network reemerges during recovery from severe traumatic brain injury,4/16/2020,4/16/2020,24,"MRI - anat, MRI - func","Healthy/Control, Severe brain injury ",,language,,"prospective, longitudinal",Traumatic Brian Injury,Yes,No,Human,https://doi.org/10.1101/2020.01.10.20017004,,"Edlow, Brian"
ds002680,https://openneuro.org/datasets/ds002680/versions/1.0.0,Go-nogo categorization and detection task,4/8/2020,4/3/2020,14,EEG,Healthy/Control,"18-25, 26-34",gonogo,2500,,Cognition,No,No,Human,10.1016/j.cogbrainres.2003.11.010,,"Fabre-Thorpe, Michele"
ds002684,https://openneuro.org/datasets/ds002684/versions/1.0.0,Kung Fu Panda,4/5/2020,4/5/2020,4,"MRI - anat, MRI - func, Field Map",Healthy/Control,26-34,"check, movie, prf",,Block and event-related visual tasks,Visual neuroscience,No,No,Human,,,"Olman, Cheryl"
ds002685,https://openneuro.org/datasets/ds002685/versions/1.0.0,IBC,4/7/2020,4/6/2020,13,"MRI - anat, MRI - func, MRI - dwi, Field Map ",Healthy/Control,"26-34, 35-50","archi emotional, archi social, archi spatial, archi standard, auditory scene perception , RSVP language, clips watching, retinotopy, HCP emotion, HCP gambling, HCP langage, HCP motor, HCP relational, HCP social, HCP WM, Fictitious event ordering, movie watching task, rest eyes open, Movie Watching task, film viewing, self",,,all cognitive domains,No,No,Human,"10.1038/sdata.2018.105, 10.1038/s41597-020-00670-4",https://arxiv.org/pdf/2006.06635.pdf,"Thirion, Bertrand"
ds002687,https://openneuro.org/datasets/ds002687/versions/1.0.0,"Reward, Working Memory, and Feedback Processing",4/8/2020,4/7/2020,24,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34","VisuoSpatial Working Memory, Large Reward, Delayed Feedback, VisuoSpatial Working Memory, Large Reward, Immediate Feedback, VisuoSpatial Working Memory, Small Reward, Delayed Feedback, Verbal Working Memory, Large Reward, Delayed Feedback, VisuoSpatial Working Memory, Small Reward, Immediate Feedback, Verbal Working Memory, Small Reward, Delayed Feedback, Verbal Working Memory, Large Reward, Immediate Feedback, Verbal Working Memory, Small Reward, Immediate Feedback",120,Block,"Working Memory, Reward, Feedback",No,No,Human,"10.1016/j.dib.2020.105801, 10.1016/j.nicl.2015.08.015, 10.1016/j.dcn.2015.06.002, Hammer R, Booth JR, Borhani R & Katsaggelos AK (Feb. 25, 2020).  Pattern analysis based on fMRI data collected while subjects perform working memory tasks allowing high-precision diagnosis of ADHD",,"Booth, James"
ds002691,https://openneuro.org/datasets/ds002691/versions/1.0.0,Internal attention study,4/8/2020,4/8/2020,20,EEG,Healthy/Control,"35-50, 51-65",internalattention,20,,Cognition,No,No,Human,ISSN 1970-223X,,"Delorme, Arnaud"
ds002702,https://openneuro.org/datasets/ds002702/versions/1.0.0,High-field 7T Visual fMRI Datasets,4/13/2020,4/13/2020,11,"MRI - anat, MRI - func, Field Map",Healthy/Control,,"floc, Ring",,,"vision, high-resolution fMRI",No,No,Human,"10.1016/j.neuroimage.2019.02.006, 10.1523/JNEUROSCI.2106-19.2020, 10.1101/868455, 10.1038/s41592-020-0941-6",,"Kay, Kendrick"
ds002711,https://openneuro.org/datasets/ds002711/versions/1.0.0,Smiley,7/19/2019,7/19/2019,15,"MRI - anat, MRI - func",,,Smiley,,,memory retrieval,No,No,Human,10.1371/journal.pone.0234104,,"Theodoridis, Sergios"
ds002712,https://openneuro.org/datasets/ds002712/versions/1.0.0,Numbers and Letters,6/13/2019,6/13/2019,25,"MRI - anat, MEG",Healthy/Control,"18-25, 26-34",Numbers and Letters,,,,No,No,Human,10.1016/j.cortex.2020.03.030,,"Carreiras, Manuel"
ds002715,https://openneuro.org/datasets/ds002715/versions/1.0.0,AVScenes_Blind,4/17/2020,4/17/2020,8,"MRI - anat, MRI - func",Healthy/Control,,AVSceneslong,,,,No,No,Human,10.1016/j.cub.2020.05.071,,"Vetter, Petra"
ds002717,https://openneuro.org/datasets/ds002717/versions/1.0.0,Unexplained Repeated Pregnancy Loss is Associated with Altered Perceptual and Brain Responses to Male Body-Odor,4/19/2020,4/19/2020,59,"MRI - anat, MRI - func",Unexplained repeated pregnancy loss ,"26-34, 35-50","blank, bodyodor",40,Event-related,Social chemosignaling,No,No,Human,10.1101/2020.02.06.937029,,"Sobel, Noam"
ds002718,https://openneuro.org/datasets/ds002718,Face processing EEG dataset for EEGLAB,4/2/2020,4/2/2020,18,"MRI - anat, EEG",Healthy/Control,"18-25, 26-34",FaceRecognition,,,,No,Yes,Human,10.1038/sdata.2015.1,,"Henson, Richard"
ds002720,https://openneuro.org/datasets/ds002720/versions/1.0.1,A dataset recorded during development of a tempo-based brain-computer music interface,4/24/2020,4/23/2020,18,EEG,,18-25,Run,,Event-related,Music emotions,No,No,Human,10.1038/s41597-020-0507-6,,"Nasuto, Slawomir"
ds002721,https://openneuro.org/datasets/ds002721/versions/1.0.1,An EEG dataset recorded during affective music listening,4/23/2020,4/23/2020,31,EEG,Healthy/Control,"26-34, 35-50, 51-65",Run,,Event-related,Music emotion,No,No,Human,"Daly, I., Nicolaou, N., Williams, D., Hwang, F., Kirke, A., Miranda, E., Nasuto, S.J., ""Neural and physiological data from participants listening to affective music"", Scientific Data, 2018., 10.1016/j.neulet.2014.05.003, 10.1109/EMBC.2014.6944647, 10.1016/j.bandc.2015.08.003, 10.1038/s41597-020-0507-6",,"Nasuto, Slawomir"
ds002722,https://openneuro.org/datasets/ds002722/versions/1.0.1,A dataset recorded during development of an affective brain-computer music interface: calibration session,4/23/2020,4/23/2020,19,EEG,Healthy/Control,18-25,Run,,Event-related,Music emotion,No,No,Human,"Daly, I., Nicolaou, N., Williams, D., Hwang, F., Kirke, A., Miranda, E., Nasuto, S.J., ""Neural and physiological data from participants listening to affective music"", Scientific Data, 2018., Daly, I., Williams, D., Hwang, F., Kirke, A., Malik, A., Roesch, E., Weaver, J., Miranda, E. R., Nasuto, S. J., ""Identifying music-induced emotions from EEG for use in brain-computer music interfacing"", in Proc. 4th Workshop on Affective Brain-Computer Interfaces at the 6th International Conference on Affective Computing and Intelligent Interaction (ACII2015). Xian, China, 21-25 September 2015., 10.1145/3059005, 10.1038/s41597-020-0507-6",,"Nasuto, Slawomir"
ds002723,https://openneuro.org/datasets/ds002723/versions/1.1.0,A dataset recorded during development of an affective brain-computer music interface: testing session,4/23/2020,4/23/2020,8,EEG,,18-25,Run,,Event-related,Music emotion,No,No,Human,"Daly, I., Nicolaou, N., Williams, D., Hwang, F., Kirke, A., Miranda, E., Nasuto, S.J., “Neural and physiological data from participants listening to affective music”, Scientific Data, 2018.,  10.1088/1741-2560/13/4/046022, 10.1145/3059005, 10.1038/s41597-020-0507-6",,"Nasuto, Slawomir"
ds002724,https://openneuro.org/datasets/ds002724/versions/1.0.1,A dataset recorded during development of an affective brain-computer music interface: training sessions,4/23/2020,4/24/2020,10,EEG,,18-25,Run,,Event-related,Music emotion,No,No,Human,"Daly, I., Nicolaou, N., Williams, D., Hwang, F., Kirke, A., Miranda, E., Nasuto, S.J., ""Neural and physiological data from participants listening to affective music"", Scientific Data, 2018.  [2] Daly, I., Williams, D., Hwang, F., Kirke, A., Malik, A., Roesch, E., Weaver, J., Miranda, E. R., Nasuto, S. J., ""Identifying music-induced emotions from EEG for use in brain-computer music interfacing"", in Proc. 4th Workshop on Affective Brain-Computer Interfaces at the 6th International Conference on Affective Computing and Intelligent Interaction (ACII2015). Xian, China, 21-25 September 2015. ; https://doi.org/10.1145/3059005, 10.1038/s41597-020-0507-6",,"Nasuto, Slawomir"
ds002725,https://openneuro.org/datasets/ds002725/versions/1.0.0,A dataset recording joint EEG-fMRI during affective music listening,4/23/2020,4/23/2020,21,"MRI - anat, MRI - func, EEG",,"18-25, 26-34","GeneratedMusic, classicalMusic, genMusic01, genMusic02, washout, genMusic03",,Block design & Event related,Music emotion,No,No,Human,"10.1038/s41598-019-45105-2, 10.1038/s41597-020-0507-6",,"Nasuto, Slawomir"
ds002726,https://openneuro.org/datasets/ds002726/versions/1.0.0,Structural brain network of gifted children,6/25/2019,6/25/2019,29,MRI - anat,"Healthy/Control, gifted children",11-17,,,,brain networks in children,No,Yes,Human,10.1007/s00429-019-01914-9,,"Bullmore, Edward"
ds002727,https://openneuro.org/datasets/ds002727/versions/1.0.1,EMOTIVE IDIOMS,5/22/2019,5/30/2019,23,"MRI - anat, MRI - func, FieldMap",Healthy/Control,"18-25, 26-34, 35-50",silent reading,100,,Idiomatic expressions and emotion,No,No,Human,10.1016/j.neuropsychologia.2019.05.020,,"Jacobs, Arthur"
ds002731,https://openneuro.org/datasets/ds002731/versions/1.0.0,DRM False Memory,1/13/2019,1/16/2019,59,"MRI - anat, MRI - func",Healthy/Control,18-25,"encoding, retrieval",,,"False memory, DRM",No,No,Human,10.3758/s13421-013-0300-2,,"Dong, Qi"
ds002732,https://openneuro.org/datasets/ds002732/versions/1.0.0,Untitled,4/24/2020,4/24/2020,30,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34",rating,,,,No,No,Human,10.1016/j.cortex.2020.04.018,,"Tobler, Philippe"
ds002733,https://openneuro.org/datasets/ds002733/versions/1.0.0,Bids Pilot Project,12/5/2018,12/5/2018,1,"MRI - anat, MRI - func",,,rest,,Test-pilot,Pilot,No,No,Human,,,
ds002734,https://openneuro.org/datasets/ds002734/versions/1.0.0,Evidence Accumulation in Value-Based decisions,7/15/2018,1/26/2019,22,"MRI - anat, MRI - func, EEG",Healthy/Control,"18-25, 26-34",two-choice decision-making,200,,value-based decisions,No,No,Human,10.1038/ncomms15808,,"Philiastides, Marios"
ds002735,https://openneuro.org/datasets/ds002735/versions/1.0.0,Headmold,10/23/2018,12/13/2018,11,"MRI - anat, MRI - func",Healthy/Control,"11-17, 18-25",rest,,Customized head molds,reduce motion,No,No,Human,10.1016/j.neuroimage.2019.01.016,,"Power, Jonathan"
ds002737,https://openneuro.org/datasets/ds002737/versions/1.0.1,multibandCFtests,10/10/2018,10/10/2018,1,"MRI - anat, MRI - func, FieldMap",Healthy/Control,,Stroop,,,Dual Mechanisms of Cognitive Control,Yes,No,Human,,,"Braver, Todd"
ds002738,https://openneuro.org/datasets/ds002738/versions/1.0.0,rewardBeast,7/18/2018,7/18/2018,36,"MRI - anat, MRI - func, FieldMap",Healthy/Control,"18-25, 26-34","rest, reward",,,reinforcement learning,No,No,Human,10.1523/JNEUROSCI.0075-18.2018,,"Poldrack, Russ"
ds002739,https://openneuro.org/datasets/ds002739/versions/1.0.0,Simultaneous EEG-fMRI - Confidence in perceptual decisions,9/24/2018,1/7/2019,24,"MRI - anat, MRI - func, EEG",Healthy/Control,"18-25, 26-34",perceptual decision task,157,multimodal ,decision formation,No,No,Human,10.7554/eLife.38293,,"Philiastides, Marios"
ds002741,https://openneuro.org/datasets/ds002741/versions/1.0.2,Animated caricatures fMRI study,2/6/2020,2/6/2020,30,"MRI - anat, MRI - func",Healthy/Control,,Caricatures,,repeated measures,,No,No,Human,"10.1016/j.neuroimage.2017.06.023, 10.1016/j.cogpsych.2019.02.002, 10.1523/JNEUROSCI.3621-15.2016, 10.1016/j.neuropsychologia.2015.10.010, 10.1093/cercor/bhu083, 10.1523/JNEUROSCI.2992-13.2013, 10.1523/JNEUROSCI.1992-12.2012",,"Furl, Nicholas"
ds002743,https://openneuro.org/datasets/ds002743/versions/1.0.1,TEST1,9/7/2018,9/7/2018,3,MRI - anat,,26-34,,,Test set,Test set,No,No,Human,,,"Redolfi, Alberto"
ds002748,https://openneuro.org/datasets/ds002748/versions/1.0.0,Resting state with closed eyes for patients with depression and healthy participants,4/27/2020,4/27/2020,72,"MRI - anat, MRI - func","Healthy/Control, Depression","18-25, 26-34, 35-50",rest,,,Depression,No,No,Human,,,"Natarova, Kira"
ds002750,https://openneuro.org/datasets/ds002750/versions/1.0.0,YanDataBIDS,7/14/2018,7/14/2018,3,"MRI - anat, MRI - func",,,,,Test BIDS set,Test BIDS set,No,No,Human,,,"Yan, Chao-Gan"
ds002761,https://openneuro.org/datasets/ds002761/versions/1.0.1,memoryreplay,5/15/2020,5/15/2020,12,MEG,Healthy/Control,,Memory,,,MEG,No,No,Human,10.1101/758185,,"Dolan, Raymond"
ds002766,https://openneuro.org/datasets/ds002766/versions/1.0.0,Cast-induced plasticity,6/16/2020,6/16/2020,3,MRI - func,Healthy/Control,,"Motor, rest",,,,Yes,No,Human,10.1016/j.neuron.2020.05.007,,"Dosenbach, Nico"
ds002770,https://openneuro.org/datasets/ds002770/versions/1.0.1,Brain mechanisms underlying episodic future thinking of sustainable behaviors,4/30/2020,4/30/2020,86,"MRI - anat, MRI - func, Field Map",Healthy/Control,,cueexposure,72,,episodic future thinking,No,No,Human,,,"Billieux, Joël"
ds002773,https://openneuro.org/datasets/ds002773/versions/1.0.0,Retrieval practice facilitates memory updating by enhancing and differentiating medial prefrontal cortex representations,5/5/2020,5/2/2020,19,"MRI - anat, MRI - func, beh",Healthy/Control,18-25,"updating, retrieval, localizer",,,,Yes,No,Human,,,"Xue, Gui"
ds002776,https://openneuro.org/datasets/ds002776/versions/1.0.1,Motor sequence learning,5/12/2020,5/11/2020,26,"MRI - anat, MRI - func, Field Map",Healthy/Control,"18-25, 26-34",motorseq,,"longitudinal, within-subject",motor learning,Yes,No,Human,10.1101/2020.01.08.899229,,"Diedrichsen, Jorn"
ds002778,https://openneuro.org/datasets/ds002778/versions/1.0.1,UC San Diego Resting State EEG Data from Patients with Parkinson's Disease,5/5/2020,5/7/2020,31,"EEG, beh",Parkinson's Disease,"51-65, 66+",rest,,Resting State,Parkinson's Disease,No,No,Human,"10.1523/ENEURO.0151-19.2019, 10.1016/j.nicl.2013.07.013",,"Swann, Nicole"
ds002785,https://openneuro.org/datasets/ds002785/versions/1.0.0,AOMIC-PIOP1,5/24/2020,5/7/2020,216,"MRI - anat, MRI - func, MRI - dwi",Healthy/Control,18-25,"faces, emomatching, gstroop, restingstate, workingmemory, anticipation",,,,No,Yes,Human,,,"Scholte, Steven"
ds002790,https://openneuro.org/datasets/ds002790/versions/1.0.0,AOMIC-PIOP2,5/24/2020,5/12/2020,226,"MRI - anat, MRI - func, MRI - dwi, Field Map",Healthy/Control,18-25,"restingstate, stopsignal, workingmemory, emomatching",,,,No,Yes,Human,,,"Scholte, Steven"
ds002791,https://openneuro.org/datasets/ds002791/versions/1.0.0,DataSet1,7/17/2020,7/17/2020,23,EEG,,"18-25, 26-34",,,,,No,No,Human,,,"Hassan, Mahmoud"
ds002793,https://openneuro.org/datasets/ds002793/versions/1.0.1,ToM following strong vs weak priors,5/17/2020,5/17/2020,28,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34","tom, tps",,,,No,No,Human,,,"Young, Liane"
ds002797,https://openneuro.org/datasets/ds002797/versions/1.0.0,eLife39497,9/2/2018,9/2/2018,22,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34",visual stimuli,,,"cognitive control, predictions",No,No,Human,10.7554/eLife.39497,,"Egner, Tobias"
ds002799,https://openneuro.org/datasets/ds002799/versions/1.0.1,Human es-fMRI Resource: Concurrent deep-brain stimulation and whole-brain functional MRI,5/18/2020,5/18/2020,26,"MRI - anat, MRI - func, iEEG, Field Map",Epilepsy,"18-25, 26-34, 35-50, 51-65","es, rest",,medically refractory epilepsy requiring surgically implanted intracranial electrodes,,No,Yes,Human,10.1038/s41597-020-00595-y,,"Adolphs, Ralph"
ds002813,https://openneuro.org/datasets/ds002813/versions/1.0.0,Model-based fMRI reveals co-existing specific and generalized concept representations,12/16/2020,5/19/2020,38,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34","fintest, imtest, train",,,categorization,No,No,Human,10.7554/eLife.59360,,"Zeithamova-Demircan, Dasa"
ds002814,https://openneuro.org/datasets/ds002814/versions/1.2.1,A Multimodal Neuroimaging Dataset to Study Spatiotemporal Dynamics of Visual Processing in Humans,10/1/2020,10/1/2020,21,"MRI - anat, MRI - func, EEG",Healthy/Control,"18-25, 26-34",categorySelectivity,,,,No,Yes,Human,,,"Khaligh-Razavi, Seyed-Mahdi"
ds002833,https://openneuro.org/datasets/ds002833/versions/1.0.0,DataSet2,7/17/2020,7/17/2020,20,EEG,,18-25,PicturesNaming,,,,No,No,Human,,,"Hassan, Mahmoud"
ds002835,https://openneuro.org/datasets/ds002835/versions/1.0.0,Prospection,2/2/2021,5/21/2020,26,"MRI - anat, MRI - func, Field Map",,,Prospection,,,,No,No,Human,,,"Kable, Joseph"
ds002837,https://openneuro.org/datasets/ds002837/versions/1.0.6,Naturalistic Neuroimaging Database,5/26/2020,5/27/2020,86,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34, 35-50","500daysofsummer, 12yearsaslave, citizenfour, theusualsuspects, pulpfiction, theshawshankredemption, theprestige, backtothefuture, split, littlemisssunshine, Citizenfour, Split",,,,No,Yes,Human,10.1101/2020.05.22.110817,,"Skipper, Jeremy"
ds002841,https://openneuro.org/datasets/ds002841/versions/1.0.0,Intuitive physics with fMRI,12/13/2019,12/13/2019,29,"MRI - anat, MRI - func",,,"masscolor, masstask, Localizer, massfriction",,,,No,No,Human,Invariant representations of mass in the human brain. eLife,,"Kanwisher, Nancy"
ds002842,https://openneuro.org/datasets/ds002842/versions/1.0.0,L2_SENTENCES,2/15/2020,2/15/2020,22,"MRI - anat, MRI - func, Field Map",Healthy/Control,"18-25, 26-34, 35-50",silentreading,,event-related fMRI,Language,No,No,Human,,,"Goldberg, Adele"
ds002843,https://openneuro.org/datasets/ds002843/versions/1.0.0,Cognitive Training,5/8/2021,5/23/2020,166,"MRI - anat, MRI - func, MRI - dwi, Field map",Healthy/Control,"18-25, 26-34","intertemporal choice task, risk choice task, rest",,,,No,No,Human,10.1523/JNEUROSCI.2832-16.2017,,"Kable, Joseph "
ds002848,https://openneuro.org/datasets/ds002848/versions/1.0.0,mriquality,10/23/2018,10/23/2018,5,"MRI - anat, MRI - func",,"18-25, 26-34",rest,,MRI Quality data,MRI Quality data,No,No,Human,,,"Kana, Rajesh"
ds002868,https://openneuro.org/datasets/ds002868/versions/1.0.0,CAMRI Mouse Brain MRI Data,6/1/2020,6/1/2020,16,MRI - anat,,,,,,,No,No,Mouse,,,"Shih, Yen-Yu Ian"
ds002870,https://openneuro.org/datasets/ds002870/versions/1.0.0,CAMRI Rat Brain MRI Data,6/1/2020,6/1/2020,132,MRI - anat,,,,,,,No,No,Rat,,,"Shih, Yen-Yu Ian"
ds002872,https://openneuro.org/datasets/ds002872/versions/1.3.0,Aging,6/11/2020,6/12/2020,39,"MRI - anat, MRI - func, Field Map",,"18-25, 26-34, 66+","illusion, rest",,,Aging,No,Yes,Human,10.1016/j.dib.2020.105939,,"Kavounoudias, Anne"
ds002873,https://openneuro.org/datasets/ds002873/versions/1.0.0,"Neural mechanisms of musical syntax and tonality, and the effect of musicianship",6/3/2020,6/1/2020,1,MRI - func,,,music,,,,No,No,,,,"Cai, Qing"
ds002878,https://openneuro.org/datasets/ds002878/versions/1.0.0,MRI Lab Graz: Neuronal correlates of creative decision making in soccer,9/29/2020,6/3/2020,35,"MRI - anat, MRI - func, Field Map",,"18-25, 26-34",soccer,,,,No,No,Human,"10.1002/hbm.24408, 10.1016/j.neuropsychologia.2018.04.025, 10.1111/jasp.12159",,"Koschutnig, Karl"
ds002879,https://openneuro.org/datasets/ds002879/versions/1.0.0,Brain Correlates of Multisensory Lexical Processing in Adults,6/9/2020,6/9/2020,32,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34","Audio-Audio Non-Word Rhyming, Audio-Audio Word Rhyming, Visual-Visual Non-Word Rhyming, Visual-Visual Word Rhyming",,Event Related,Reading,No,No,Human,10.1002/hbm.22147; 10.1111/desc.12245,,"Booth, James"
ds002885,https://openneuro.org/datasets/ds002885/versions/1.0.1,DBS Phantom Recordings,6/23/2020,6/24/2020,2,MEG,,,"DSMW, EmptyRoom, Reference, DMW",,Phantom ,,No,No,,,,"Florin, Esther"
ds002886,https://openneuro.org/datasets/ds002886/versions/1.0.0,Brain Development of Deductive Reasoning,6/9/2020,6/8/2020,56,"MRI - anat, MRI - func",Healthy/Control,"0-10, 11-17","Syllogistic Reasoning, Transitive Reasoning",,Event Related,Deductive Reasoning,Yes,No,Human,"10.1093/cercor/bhr389; 10.1002/hbm.22681, 10.1016/j.dib.2020.106405",,"Booth, James"
ds002887,https://openneuro.org/datasets/ds002887/versions/1.0.1,Emotion Study,6/30/2020,7/1/2020,34,EEG,Healthy/Control,"18-25, 26-34",ImaginedEmotion,,,,No,No,Human,10.3389/neuro.09.061.2009,,"Makeig, Scott"
ds002893,https://openneuro.org/datasets/ds002893/versions/1.0.0,Auditory-Visual Shift Study,6/29/2020,6/14/2020,49,EEG,Healthy/Control,"18-25, 35-50, 51-65",AuditoryVisualShift,,,,No,No,Human,"10.1016/j.brainres.2008.02.010, ",,"Townsend, Jeanne"
ds002896,https://openneuro.org/datasets/ds002896/versions/1.0.0,Resting State fMRI study of non bothersome tinnitus,6/17/2020,6/17/2020,38,"MRI - anat, MRI - func","Healthy/Control, non bothersome tinnitus ","18-25, 35-50, 51-65",rest,1,Resting State fMRI ,Neuroimaging correlates of tinnitus,No,No,Human,"10.1089/brain.2019.0712, 10.1101/676429, 10.1007/s00429-014-0944-0 10.1002/hbm.21063 ",,"Delon-Martin, Chantal"
ds002898,https://openneuro.org/datasets/ds002898/versions/1.0.0,Monash rsPET-MR,6/17/2020,6/17/2020,27,"MRI - anat, MRI - func, PET, Field Map",Healthy/Control,18-25,rest,,Resting state,Brain activity,No,No,Human,10.1038/s41597-020-00699-5,,"Egan, Gary"
ds002905,https://openneuro.org/datasets/ds002905/versions/1.0.0,simpcomp_rawdata,6/17/2020,6/17/2020,18,"MRI - anat, MRI - func",Healthy/Control,,"languagelocalizer, maintask",,,language,No,Yes,Human,,,"Pallier, Christophe"
ds002908,https://openneuro.org/datasets/ds002908/versions/1.0.0,Human MEG recordings during sequential conflict task,9/6/2020,8/4/2020,13,MEG,Parkinson's Disease,"51-65, 66+",mouse,,Repeated Measures x Group,Decision Making,Yes,No,Human,10.1101/2020.06.09.141713,,"Litvak, Vladimir"
ds002936,https://openneuro.org/datasets/ds002936,Neuroharmony sample exanple,7/27/2020,7/27/2020,3,MRI - anat,Healthy/Control,"18-25, 35-50",,,,Structural MRI,No,No,Human,10.1016/j.neuroimage.2020.117127,,"Mechelli, Andrea"
ds002938,https://openneuro.org/datasets/ds002938/versions/1.0.0,Task-Dependent Effort-Induced Connectivity,4/4/2020,4/4/2020,30,"MRI - anat, MRI - func, Field Map",Healthy/Control,"18-25, 26-34","1back, effort, 1back task, effort task",,Event-related fMRI,Cognitive Psychology,No,No,Human,10.1523/JNEUROSCI.2948-19.2020,,"Verguts, Tom"
ds002940,https://openneuro.org/datasets/ds002940/versions/1.0.1,Head-to-Ball Impacts in Collegiate Soccer Players,6/26/2020,6/26/2020,24,"MRI - anat, MRI - func",Healthy/Control,,,rest,,,Yes,No,Human,10.1016/j.neuroimage.2020.117306,,"Keator, David"
ds002965,https://openneuro.org/datasets/ds002965/versions/1.0.0,_test_julien,6/28/2020,6/28/2020,2,MRI - anat,,,,,,,No,No,Human,,,"Cohen-Adad, Julien"
ds002982,https://openneuro.org/datasets/ds002982/versions/1.0.0,_test_julien,6/28/2020,6/28/2020,2,MRI - anat,,,,,,,No,No,Human,,,"Cohen-Adad, Julien"
ds002994,https://openneuro.org/datasets/ds002994/versions/1.0.1,fribblesFMRI_object-value-construction,7/17/2020,7/17/2020,56,"MRI - anat, MRI - func, Field Map",,,"fLoc, fribBids",,,,No,No,Human,,,"Schonberg, Tom"
ds002995,https://openneuro.org/datasets/ds002995/versions/1.0.1,Taste Quality Representation in the Human Brain,7/7/2020,7/8/2020,18,"MRI - anat, MRI - func, Field Map",Healthy/Control,"18-25, 26-34",Taste Mapping,16,Block,Taste,No,No,Human,10.1523/JNEUROSCI.1751-19.2019,,"Martin, Alex"
ds003004,https://openneuro.org/datasets/ds003004/versions/1.0.0,Emotion Study,6/30/2020,7/1/2020,34,EEG,Healthy/Control,"18-25, 26-34",ImaginedEmotion,,,,No,No,Human,10.3389/neuro.09.061.2009,,"Makeig, Scott"
ds003007,https://openneuro.org/datasets/ds003007/versions/1.0.0,"Two sessions of resting state with closed eyes for patients with depression in treatment course (NFB, CBT or No treatment groups)",7/10/2020,7/10/2020,29,"MRI - anat, MRI - func","Depression (NFB, CBT or No treatment groups)","26-34, 35-50",resting state with closed eyes,2,,FMRI,Yes,No,Human,,,"Koptyug, Igor"
ds003011,https://openneuro.org/datasets/ds003011/versions/1.2.0,Social Processes Initiative in Neurobiology of the Schizophrenia(s) Traveling Human Phantoms,3/15/2021,3/15/2021,4,"MRI - anat, MRI - func, MRI - dwi",Healthy/Control,,rest eyes closed,,,,Yes,No,Human,10.1016/j.pscychresns.2018.06.004,,"Voineskos, Aristotle"
ds003012,https://openneuro.org/datasets/ds003012/versions/1.0.0,action-in-auctions,6/5/2019,6/7/2019,29,"MRI - anat, MRI - func, FieldMap",Healthy/Control,"18-25, 26-34",double auction,,,auction decision-making,No,No,Human,10.1111/ejn.14492,,"Klucharev, Vasily"
ds003017,https://openneuro.org/datasets/ds003017/versions/1.0.1,Budapest,7/15/2020,7/15/2020,25,"MRI - anat, MRI - func, Field Map",Healthy/Control,"18-25, 26-34","movie, movie watching task",,,,No,No,Human,10.1101/2020.07.14.203257v1,,"Gobbini, Ida"
ds003027,https://openneuro.org/datasets/ds003027/versions/1.0.1,plp_nf1_dMRI_fMRI,8/12/2020,8/14/2020,23,"MRI - anat, MRI - func, MRI - dwi",,,rest,,,,Yes,No,Mice,10.1101/2020.03.31.016089,,"Kahn, Itamar"
ds003029,https://openneuro.org/datasets/ds003029/versions/1.0.2,Epilepsy-iEEG-Multicenter-Dataset,12/2/2020,12/2/2020,35,iEEG,Epilepsy,"11-17, 26-34, 35-50, 51-65",ictal,,,,No,No,Human,10.1101/862797,,"Sarma, Sridevi"
ds003037,https://openneuro.org/datasets/ds003037,SUDMEX_TMS: The Mexican dataset of an rTMS clinical trial on cocaine use disorder patients.,7/29/2020,7/29/2020,53,"MRI - anat, MRI - func, Field Map",cocaine use disorder,"18-25, 26-34, 35-50",rest,,Double-blind randomized controlled trial with parallel groups,substance use disorders,Yes,No,Human,10.1101/2020.07.15.20154708,,"Garza-Villarreal, Eduardo"
